CT_titles,ECs,common
Effects and Therapeutic Potential of Psilocybin in Alcohol Dependence,"[exclusion] high risk of adverse emotional reaction based on investigator's clinical evaluation (e.g., evidence of serious personality disorder, serious current stressors, lack of meaningful social support)",
"Randomized, Open Label, Multi-Center, Phase II Trial of Eribulin With or Without SB3 (Trastuzumab-biosimilar) in Patients With HER2-overexpressed Recurrent or Stage IV Breast Cancer Who Have Received at Least 2 Prior HER2-directed Regimens",[inclusion] ability to understand and comply with protocol during study period,1
Phase 1 Evaluation of [18F]MK-6240 PET as an Imaging Marker for Tau Protein in the Brain of Patients With Alzheimer's Disease Compared to Healthy Volunteers,[inclusion] written informed consent must be obtained before any assessment is performed,1
Erdafitinib Plus Abiraterone Acetate or Enzalutamide in Double Negative Prostate Cancer,"[exclusion] any serious underlying medical condition, such as: Psychiatric conditions (e.g., alcohol or drug abuse), dementia, or altered mental status",1
"A Phase 1b, Randomized, Double-Blind, Placebo-Controlled, Multiple-Dose Study to Determine the Pharmacokinetics, Pharmacodynamics, Safety and Tolerability of LX3305 and Methotrexate in Subjects With Stable Rheumatoid Arthritis","[exclusion] use of chondroitin sulfate, glucosamine sulfate, minocycline, or matrix metalloproteinase inhibitors, H-2 blockers, proton pump inhibitors, or misoprostol within 4 weeks prior to study start",
"Neoadjuvant Radiotherapy and Capecitabine With or Without Panitumumab in Patients With Advanced, K-ras Unmutated Rectal Cancer. A Randomized Multicenter Phase II Trial",[inclusion] histologically confirmed advanced adenocarcinoma of the rectum with or without nodal involvement,
"A Randomised, Double-blind, Placebo-controlled Dose Titration Trial With 0.125-0.75 mg Pramipexole (Sifrol∝) Orally to Investigate the Safety and Efficacy in Out-patients With Idiopathic Restless Legs Syndrome for 6 Weeks Followed by 46 Weeks Open-label or Double-blind Treatment Period",[inclusion] irresistible urge to move usually associated with sensory complaints of the lower limbs,
"A Phase 3, Prospective, Multicenter Study to Evaluate Efficacy and Safety of Recombinant Von Willebrand Factor (rVWF) With or Without ADVATE in Elective Surgical Procedures in Subjects With Severe Von Willebrand Disease","[inclusion] if applicable, participant agrees to employ adequate birth control measures for the duration of the study",1
Trial of Ateronon for Carotid Atherosclerosis and Biomarkers in Patients With Stable Coronary Heart Disease,[exclusion] plan to relocate out of Boston area within the next year,1
"A Phase 1B, Randomized, Double-Blind, Placebo-Controlled, Multiple-Dose Escalation Study Evaluating the Safety, Tolerability, Pharmacokinetics (PK), and Pharmacodynamic (PD) Effect of NSI-189 Phosphate in Depression Patient Subjects","[inclusion] montgomery-Asberg Depression Scale (MADRS) score of 15 to 30, inclusive, at Screening and baseline",
"A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Parallel-group, 6-Week Study to Evaluate the Efficacy and Safety of TAK-063 in Subjects With an Acute Exacerbation of Schizophrenia",[exclusion] has received any depot preparation (sustained-release formulation) of antipsychotic drugs within 1 month (30 days) of Screening,
Nordic Urothelial Cancer Research Group Study on Reduced BCG Dwell-Time in High Risk NMIBC,[exclusion] previous BCG instillations,
Personalized Versus Standardized Parenteral Nutrition for Preterm Infants With a Birth Weight Greater Than 1250 Grams: a Multicenter Randomized Phase IV Clinical Trial,"[exclusion] renal insufficiency before enrolment,",1
"Prospective, Single-arm, Open-label Use of Hemlibra (Emicizumab) to Treat Hemophilic Pseudotumor",[exclusion] pregnancy or lactation or intention to become pregnant during the study,1
PAZOPANIB Efficacy and Tolerance in Desmoids Tumors : Phase 2 Clinical Trial,[inclusion] women are eligible provided they: Of childbearing age if they have had a negative pregnancy test in the week before the first dose of treatment,1
"BAY59-7939, Japanese Phase II in Atrial FibrillationTrial Status",[inclusion] japanese male or female,1
The Effect of a Non-hormonal Cox-2 Inhibitor (Celebrex) on Ovulation,"[inclusion] willing and able to return to clinic for bi-weekly for blood tests and ultrasounds throughout cycles 2, 3 & 5",1
"A Randomized, Open-Label, Phase 3 Study to Assess the Efficacy and Safety of KRN23 Versus Oral Phosphate and Active Vitamin D Treatment in Pediatric Patients With X Linked Hypophosphatemia (XLH)",[exclusion] presence of nephrocalcinosis on renal ultrasound grade 4,
"A Randomized, Assessor-blind, Parallel Group, Multicentre Phase III Trial to Compare the Efficacy and Safety of Eurofarma's Pegfilgrastim to Neulastim∝ in Subjects With High Risk Stage II or Stage III / IV Breast Cancer Receiving Chemotherapy.",[exclusion] participation in a clinical trial within 30 days prior to the Screening Visit,1
"A Pilot Study of Adjuvant Therapy of Gefitinib (Iressa, ZD1839) in Patients With Resectable Hepatocellular Carcinoma","[inclusion] pathologically newly diagnosis HCC, which is deemed resectable and resected",
"A Phase 3, Multi-Center, Single-Arm, Open-Label Study For The Safety And Efficacy Of Mistletoe Extract (AbnobaViscum∝ Injection) In Malignant Pleural Effusions",[inclusion] expected survival time of at least 2 months,1
"A Phase 1, Open-Label, Dose-Escalating Study to Evaluate the Safety, Tolerability and Immunogenicity of the Recombinant Plague Vaccine rF1V in Healthy Volunteers",[exclusion] have occupational or other responsibilities that would prevent completion of participation in the study,1
Topical MAPK Inhibition in Rosacea,[exclusion] pregnancy or lactation,1
"A Randomized, Double-blind, Placebo-controlled Multiple Dosing Phase I Clinical Trial to Investigate the Safety, Tolerability and Pharmacokinetics of PAC-14028 Cream After Transdermal Administration in Healthy Volunteers","[exclusion] who donated whole blood within 2 months before study drug administration, who donated via plasmapheresis/plateletpheresis within 1 month before study drug administration, or who received a blood transfusion within 1 month before study drug administration",
"An Open-label Pilot Study Evaluating the Effect of a Combination Regimen of Herceptin, Cisplatin, and Gemcitabine on Time to Disease Progression in Patients With Metastatic Urothelial Cancer",[exclusion] concomitant chemotherapy or immunotherapy,
Thoracic Epidural Versus General Anesthesia for Laparoscopic Cholecystectomy: A Randomized Controlled Trial,"[inclusion] age more than 18 years,",1
"An Open-label, Non-randomized, Multicenter Phase I Study to Determine the Maximum Tolerated or Recommended Phase II Dose of Oral Mutant IDH1 Inhibitor BAY1436032 and to Characterize Its Safety, Tolerability, Pharmacokinetics and Preliminary Pharmacodynamic and Anti-tumor Activity in Patients With IDH1-R132X-mutant Advanced Solid Tumors",[inclusion] patient must be able to take oral medication and comply with protocol procedures and scheduled visits,1
"A Phase 2, Multicenter, Randomized, Double-blind, Placebo-controlled Study of Vapendavir Treatment of Hematopoietic Stem Cell Transplant Subjects With Symptomatic Rhinovirus Infection",[inclusion] female subjects must not be breastfeeding or pregnant,1
A Multicentre Randomized Phase II Trial Comparing Nab-Paclitaxel to Paclitaxel in Patients With Advanced Urothelial Cancer Progressing on or After a Platinum Containing Regimen.,"[inclusion] patients must have evidence of metastatic disease, but measurable disease is not mandatory. To be considered evaluable for the overall response rate (complete and partial response), patients must have at least one measurable lesion as follows: Conventional CT scan, MRI ｜ 20 mm",
"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Phase 2 Study of the Safety and Efficacy of ABT-126 in the Treatment of Cognitive Deficits in Schizophrenia (CDS) in Smokers","[inclusion] has had continuity in psychiatric care (e.g., mental health system, clinic or physician) for at least 6 months prior to initial screening visit",
"Single-centre, Open-label Study Investigating the Excretion Balance, Pharmacokinetics and Metabolism of a Single Dose of 14C-labeled RO4917523 and an Intravenous Tracer Dose of 13C-labeled RO4917523 in Healthy Male Volunteers",[exclusion] positive screen for drugs of abuse,1
Metformin to Prevent Inactivity-induced Loss of Muscle Health During Aging,[exclusion] inability to abstain from smoking for duration of study,1
DNAVAC 001: A Phase 1 Open-labelled Trial to Optimise DNA Vaccination for Antibody Induction,[exclusion] general: fever ｜39.5‘C within 48 hours; anaphylaxis; bronchospasm; laryngeal oedema; collapse; convulsions or encephalopathy within 72 hours,
"Human Cerebral Blood Flow Regulation: Sex, Mechanism, and Stress Differences",[exclusion] participants with a history of: obesity,1
An Eight-week Multicenter Study to Evaluate the Efficacy and Safety of the Combination of Aliskiren / HCTZ (150/25 mg and 300/25 mg) in Comparison With HCTZ 25 mg in Patients With Essential Hypertension Not Adequately Responsive to HCTZ 25 mg Monotherapy,[inclusion] male or female outpatients 18 years old or older,1
PEG-Intron Observation After Regional Lymph Node Dissection in AJCC Stage III (TxN1-2MO) Melanoma Patients: a Randomized Phase III Trial,"[inclusion] regional lymph node recurrence at any interval after surgery for primary melanoma of any depth (T1-4, rN2, M0)",
Phase II Feasibility Study of Responder-derived FMT (R-FMT) and Pembrolizumab in Relapsed/Refractory PD-L1 Positive NSCLC,"[exclusion] diagnosis of non-squamous/adenocarcinoma NSCLC histologies including small cell, large cell, neuroendocrine and/or sarcomatoid histologies",
"EPIK-O: A Phase III, Multi-center, Randomized (1:1), Open-label, Active-controlled, Study to Assess the Efficacy and Safety of Alpelisib (BYL719) in Combination With Olaparib as Compared to Single Agent Cytotoxic Chemotherapy, in Participants With no Germline BRCA Mutation Detected, Platinum-resistant or Refractory, High-grade Serous Ovarian Cancer","[exclusion] participant has received prior treatment with any PI3K, mTOR or AKT inhibitor",
"Randomized, Open Label, 2-way Crossover, Single Dose Bioequivalence Study of Paroxetine IR Tablets Manufactured in GSKT and Mississauga Sites in Healthy Chinese Participants Under Fasting and Fed Conditions",[exclusion] exposure to more than four new chemical entities within 12 months prior to the first dosing day,
Establishment of the Initial Protocol With Intravitreal Bevacizumab for the Treatment of Choroidal Neovascularization Associated With High Myopia:3 vs 1.,[exclusion] media opacities that may prevent correct fundus assessment,
Unraveling the Mechanisms of Non-Response in Patients With and Without Cirrhosis Due to Chronic Hepatitis C,[exclusion] m) Albumin < 3.5 g/dL (35 g/L),
The Effects of Social Support and Oxytocin Administration on Physiological Stress Reactivity in Essential Hypertension,[exclusion] liver and renal diseases,1
"A Phase I, Multicenter, Open-Label, Dose-escalation Study to Evaluate Safety, Tolerability, Pharmacokinetics, and Clinical Activity of Orally Administered LP-168 in Subjects With Relapsed or Refractory B-cell Malignancies.","[exclusion] subject has significant screening electrocardiogram (ECG) abnormalities including. 2nd degree AV block type II 3rd degree block, Grade 2 or higher bradycardia, and corrected QT interval (QTc) ｜ 480ms",
Echinacea-based Supplement Does Not Improve Markers of Performance in Athletes,"[exclusion] if any participant is pregnant, breastfeeding, or planning to become pregnant before this study would finish",1
Phase I/II Vinorelbine and Sorafenib as Salvage Therapy in Metastatic Breast Cancer,"[exclusion] serious non-healing wound, ulcer, or bone fracture",
Thalidomide for Unresectable Hepatocellular Cancer With Optional Interferon Alpha-2a Upon Disease Progression,[inclusion] at least 20 mm in one dimension,1
Behavioral Activation and Varenicline for Smoking Cessation in Depressed Smokers,[inclusion] meet criteria for current or lifetime MDD without psychotic features,
Allogeneic (Allo) Non-Myeloablative Stem Cell Transplantation (SCT) Utilizing Mis-Matched Family Member Stem Cells Purged Using Campath-1H,[inclusion] specific populations for each disease category: Bone marrow failure: Those with diseases known to lead to severe marrow failure are eligible as well. These include those with myelofibrosis or Paroxysmal nocturnal hemoglobinuria (PNH),
"A Phase 1b, Open-Label, Dose-Escalation Study of MLN4924 Plus Azacitidine in Treatment-Na?ve Patients With Acute Myelogenous Leukemia Who Are 60 Years or Older",[exclusion] known human immunodeficiency virus (HIV) positive,1
"A Single-centre, Single-dose, Random, Open, Two-period, Cross-over Relative Bioavailability Study of Different Processes of SHR2554 Tablets in Healthy Adult Subjects",[exclusion] participation in any other clinical study that included drug treatment within 3 months prior to first SHR2554 dose,1
T Cell Responses to Varicella Zoster Virus After Vaccination and Viral Escape,[exclusion] prior vaccination with Zostavax vaccine for prevention of shingles,
A Phase II Trial of NCI-Supplied Agent: Bevacizumab (rhuMAB VEGF) (NSC# 704865) for Recurrent Sex Cord-Stromal Tumors of the Ovary,[exclusion] patients who have received prior therapy with bevacizumab or other inhibitors of vascular endothelial growth factor (VEGF),
"A Phase Ib, Multi-centre, Open-label Study of a First-in-class Nucleotide Analogue Acelarin (NUC-1031) in Combination With Cisplatin in Patients With Locally Advanced/Metastatic Biliary Tract Cancers","[inclusion] adequate haematological function: Hb ｜ 10g/dl, white blood count (WBC) ｜ 3.0 x 10*9/L, absolute neutrophil count (ANC) ｜ 1.5 x 10*9/L, platelet count ｜ 100,000/mm3",
"A Phase 2, Multicenter, Dose-Ranging Study to Evaluate the Safety and Efficacy of VX-135 With Ribavirin in Treatment-Na?ve Subjects With Chronic Hepatitis C",[exclusion] diagnosis of or suspected hepatocellular carcinoma,
"A Randomized, Assessor-blinded, Parallel Group, Multi-center, Non-inferiority Study Investigating the Efficacy and Safety of Highly Purified Urofollitropin for Injection Compared to Recombinant Human Follitropin Alfa for Injection in Controlled Ovarian Stimulation in Chinese Females Undergoing an Assisted Reproductive Technology (ART) Program","[inclusion] female diagnosed for at least one year (i.e., before screening) with tubal infertility, unexplained infertility, male factor infertility",
"A Randomized, Parallel Control, Exploratory Trial to Compare Apatinib Plus Chemotherapy Drug Versus Chemotherapy Drug as Second-line Treatment in Subjects With Advanced or Metastatic of the Non-small Cell Lung Cancer (NSCLC)",[exclusion] survival expectation < 3 months,1
A Prospective Single-arm Multi-center Phase II Study: Assessment of the Safety and Abscopal Effects of SBRT in Combination With rhGM-CSF for Stage IV NSCLC Patients Who Failed in Second-line Chemotherapy,[exclusion] human immunodeficiency virus (HIV) infection,1
"A Single-Dose, 2-Period, 2-Treatment, 2-Way Crossover Study of Doxycycline Monohydrate 25 mg as a 5mL Oral Suspension Under Fed Conditions",[exclusion] subjects may be excluded for any of the following: Is a female with a positive pregnancy test result,1
"A Phase II Study of Active Immunotherapy With PANVAC or Autologous, Cultured Dendritic Cells Infected With PANVAC After Complete Resection of Hepatic or Pulmonary Metastases of Colorectal Carcinoma",[inclusion] more than 6 weeks since prior and no concurrent steroid therapy,
Discontinuation of Disease Modifying Therapies (DMTs) in Multiple Sclerosis (MS),[inclusion] years of age or older at time of randomization,1
"A Phase II, Multi-Center, Double-Blind, Randomized Trial Comparing the Safety and Immunogenicity of a Francisella Tularensis Live Vaccine Strain (LVS) Vaccine Produced by DynPort Vaccine Company (DVC-LVS) to a LVS Vaccine in Use by the United States Army Medical Research Institute of Infectious Diseases (USAMRIID-LVS)","[exclusion] household contact with infants (children < 1 year), pregnant women, or immunosuppressed individuals, or occupation involving significant contact (e.g., HIV clinic nurse) with infants (children < 1 year), pregnant women, or immunosuppressed individuals, expected to occur in the 14 days after vaccination",1
"A Randomized, Double-Blind, Placebo Controlled Study to Evaluate the Efficacy and Safety of Different Doses of Larazotide Acetate for the Treatment of Celiac Disease",[inclusion] willing to maintain current diet gluten-free diet throughout the duration of the study,1
"A Clinical Multicenter, Phase III, Prospective, Randomized, Double-blind, Comparative Study to Evaluate the Efficacy and Tolerability of Venaflon Use in Reducing the Symptoms Caused by Chronic Venous Insufficiency When Compared With Daflon",[exclusion] patients who have previously used or Venaflon Daflon and did not benefit,
A Phase I Study of CCI-779 in Combination With Imatinib Mesylate in Chronic Myelogenous Leukemia,[inclusion] no concurrent prophylactic colony-stimulating factors,
"A Double-Blinded, Randomized, Placebo-Controlled, Single Ascending Dose (SAD) and Multiple Ascending Dose (MAD) Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Food Effect of TD-6450, a NS5A Inhibitor, in Healthy Subjects","[exclusion] subject has an estimated creatinine clearance of <90 mL/min at Screening or Day -1, calculated using the Cockcroft-Gault equation",1
Phase 2 Study of MK-3475 (an Antibody That Blocks Negative Signals to T Cells) in Patients With Microsatellite Unstable (MSI) Tumors,"[exclusion] patients with history of any autoimmune disease:inflammatory bowel disease, (including ulcerative colitis and Crohn's Disease), rheumatoid arthritis, systemic progressive sclerosis (scleroderma), systemic lupus erythematosus (SLE) autoimmune vasculitis, central nervous system (CNS) or motor neuropathy considered to be of autoimmune origin",1
Self-dispersing Liquids as Aerosol Drug Carriers,[exclusion] positive urine pregnancy test (as administered to all female subjects of childbearing potential on testing days),1
"An Open-label, Multicenter Extension Study to Evaluate the Long-term Safety and Tolerability of LUM001, an Apical Sodium-dependent Bile Acid Transporter Inhibitor (ASBTi), in Patients With Primary Biliary Cirrhosis",[exclusion] presence of advanced liver disease,1
"Combination Therapy of Vitamin C and Thiamine for Septic Shock: Multi-center, Double-blinded, Randomized, Controlled Study","[exclusion] patients who have a terminal, unresponsive illness and survival discharge is not expected (metastatic terminal cancer, etc.)",1
"Efficacy and Safety Evaluation of IBI308 Versus Paclitaxel/Irinotecan in Patients With Advanced/Metastatic Esophageal Squamous Cell Carcinoma After Failure of First-line Treatment: a Randomized, Open-label, Multicenter, Phase 2 Study (ORIENT-2)","[exclusion] receipt of immunosuppressive agents within 4 weeks prior to the first dose of study treatment, excluding topical glucocorticoids for intranasal, inhalation or other routes of administration, or physiological doses of systemic glucocorticoids (i.e., no more than 10 mg/day prednisone or equivalent doses of other glucocorticoids)",
"Fludarabine, BBR 2778 (Pixantrone) and Rituximab (FP-R) vs Fludarabine and Rituximab (F-R) for Relapsed or Refractory Indolent Non-Hodgkin's Lymphoma",[exclusion] active CNS involvement,
"A Double-blinded, Randomised, Four-period Crossover Euglycemic Clamp Trial Investigating the Dose-linearity of BioChaperone∝ Combo 75/25 and the Safety at Three Different Doses in Subjects With Type 2 Diabetes",[exclusion] type 1 diabetes mellitus,
"Double-Blind, Placebo-Controlled, 21-Week, Parallel Group Study to Evaluate Safety and Efficacy of Oral Fampridine-SR in Subjects With Multiple Sclerosis",[inclusion] have a confirmed diagnosis of multiple sclerosis,
A Phase II Study of Trisenox (Arsenic Trioxide) in the Treatment of Unresectable Liver Cancer,[inclusion] not pregnant or nursing,1
"A Phase 3, Randomized, Double-blind, Active Comparator-controlled, Multicenter Clinical Study to Evaluate the Safety, Tolerability, and Immunogenicity of V114 in Recipients of Allogeneic Hematopoietic Stem Cell Transplant (PNEU-STEM)",[inclusion] clinically stable engraftment according to investigator judgment,1
"Double-Blind, Multicenter, Study Comparing the Efficacy and Safety of OMS103HP","[exclusion] more than two doses of ketoprofen or other NSAID (including COX-2 inhibitors) within 7 days (except for piroxicam, as indicated below)",
"An Open-label Study to Evaluate the Absorption, Metabolism, and Excretion of Orally Administered [14C]-TR-701 in Healthy Adult Male Subjects","[inclusion] body mass index (BMI) of 20 kg/m2 to 29.9 kg/m2, inclusive",1
Phase I/IB Safety and Pharmacodynamic Study of Neoadjuvant (NACT) Paclitaxel and Carboplatin With Ipatasertib as Initial Therapy of Ovarian Cancer PTMA 100805,"[inclusion] the patient or a legally authorized representative must provide study-specific informed consent prior to study entry and, for patients treated in the United States (U.S.), authorization permitting release of personal health information",1
Comparison of Prasugrel and Clopidogrel Reloading on High Platelet Reactivity in Clopidogrel-loaded Patients Undergoing Percutaneous Coronary Intervention,[inclusion] acute coronary syndrome,
"A Phase II, Multicenter, Randomized,Two-Arm Clinical Study: An Investigational Arm Containing Nimotuzumab in Combination With Radiotion Therapy and Cisplatyn, and a Control Arm With Radiation Therapy and Cisplatin for the Definitive Treatment of Stage IB and IVA Uterine Cervical Carcinoma","[exclusion] para-aortic lymph nodes involvement through radiological and/or surgical staging, at investigator's discretion",
"Factorial, Multicentric, Randomized Clinical Trial of Remdesivir and Immunotherapy in Combination With Dexamethasone for Moderate COVID-19 (the AMMURAVID Trial)",[inclusion] absolute neutrophil count > 11400/mm3,
"An Open-Label, Sequential Arm, Multicenter Study to Evaluate the Antiviral Activity, Safety and Pharmacokinetics of ABT-450 With Ritonavir (ABT-450/r) Dosed in Combination With ABT-267 With and Without Ribavirin (RBV) in Treatment-Na?ve Subjects With Genotype 1, 2 or 3 Chronic Hepatitis C Virus (HCV) Infection","[inclusion] participants had a chronic HCV genotype 1, 2, or 3 infection for at least 6 months, a plasma HCV RNA > 50,000 IU/mL, and FibroTest score <= 0.72 and aspartate aminotransferase (AST) to platelet ratio index <= 2, Fibroscan∝ result of < 9.6 kilopascal (kPa), or absence of cirrhosis based on a liver biopsy",
A Feasibility Study: Understanding and Altering Pain Expectations in Subjects With Osteoarthritis of the Knee or Hip,[exclusion] currently taking a narcotic prescription medication that is > 50 mg morphine equivalents/day,
Efficacy and Safety of Individualized P2Y12 Receptor Antagonists Treatment Based on Agregometry Versus Fixed Dose Regimen in Patients After Acute Myocardial Infarction,[exclusion] platelet count <=150,
Clinical Safety Study of the Tdap Combined Vaccine (ADACEL≒) as a Booster Dose in Healthy Adults and Children in China,"[exclusion] self-reported seropositivity for Human Immunodeficiency Virus (HIV), Hepatitis B or Hepatitis C",1
THREAD: A Phase I Trial of Trametinib and Hydroxychloroquine in Patients With Advanced Pancreatic Cancer,[inclusion] subject must have computed tomography (CT) measurable disease by Response Evaluation Criteria in Solid Tumors (RECIST) 1.1 criteria,1
A Pilot Study of Irinotecan in Patients With Breast Cancer and CNS Metastases,"[inclusion] patients must have at least one measurable brain lesion prior to start of treatment (｜ 10 mm on T1-weighted, gadolinium-enhanced MRI)",
An Evaluation of the Safety and Efficacy of Moxifloxacin Ophthalmic Solution 0.5% Versus Ofloxacin Ophthalmic Solution 0.3% in the Treatment of Bacterial Conjunctivitis in Chinese Patients,"[exclusion] suspected fungal, viral, or Acanthamoeba infection",1
The Mass Balance and Biotransformation Study of [14C] Vicagrel in Chinese Healthy Adult Male Volunteers,"[exclusion] volunteers have daily smoking exceeds 5 cigarettes in three months before screening, or habitual use of nicotine products, and can not be withdrawn during the trial",1
Promotion of Coronary Collateral Function by Ivabradine-Induced Bradycardia in Patients With Coronary Artery Disease,[exclusion] CAD treated best by surgical coronary bypass,
"A Double-Blind, Placebo-Controlled Trial to Investigate the Pharmacokinetics, Pharmacodynamics, Safety, and Tolerability of SPH3127 in Patients With Mild-to-Moderate Ulcerative Colitis","[exclusion] clinically relevant abnormalities detected on ECG regarding either rhythm or conduction (e.g., QTcF > 450 ms or a known long QT syndrome). A first-degree heart block or sinus arrhythmia will not be considered a significant abnormality",
Study of Deferoxamine Mesylate in Intracerebral Hemorrhage,[inclusion] NIHSS score ｜6 and GCS >6 upon presentation,1
Combination Therapy With Sitagliptin (DPP 4 Inhibitor) and Lansoprazole (PPI) Inhibitor) to Restore Pancreatic Beta Cell Function in Recent-Onset Type 1 Diabetes,"[exclusion] subjects with any of the following conditions: History of a serious hypersensitivity reaction to sitagliptin or lansoprazole, such as anaphylaxis or angioedema",1
"A Single- and Multiple-Dose Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of LY3009104 in Japanese Healthy Subjects",[exclusion] receipt of blood products within 2 months prior to study entry,
A Phase II Study Of Thalidomide And CPT-11 (IRINOTECAN) Following Radiotherapy For Glioblastoma Multiforme,"[inclusion] absolute neutrophil count at least 1,500/mm^3",
"A Phase 2b/3, Double-blind, Randomized, Placebo Controlled, Multicenter Study to Assess the Efficacy and Safety of VX-210 in Subjects With Acute Traumatic Cervical Spinal Cord Injury",[exclusion] one or more upper extremity muscle groups untestable during screening ISNCSCI examination,
"Utility of Amantadine Hydrochloride in the Treatment of Post-traumatic Irritability: A Randomized, Double-Blind, Placebo-Controlled Trial",[inclusion] informant (family member or close friend) who lives with the participant with daily interaction in order to observe occurrences of irritability,1
"A Phase II Study of Oxaliplatin, Capecitabine, Cetuximab and Radiation in Pre-Operative Therapy of Rectal Cancer",[inclusion] at least 2 weeks since prior diverting procedure,
"Multicentric, Surveillance Study to Monitor Safety of GSK Biologicals' Purified Meningococcal Polysaccharide Vaccine of Serogroups ACWY in 3,000 Filipino Subjects Aged Above 2 Years When Administered According to the Prescribing Information.",[exclusion] major congenital defects or serious chronic illness,1
Phase II Trial Of Poly-ICLC For Glioblastoma,[inclusion] more than 8 weeks,1
"Randomized, Single-dose, Parallel-arm, Open-label Phase I Trial to Compare the Pharmacokinetics, Safety and Tolerability of BI 695501 Administered Subcutaneously Via Prefilled Syringe or Autoinjector",[exclusion] chronic or relevant acute infections,1
"A Phase II Trial of Combination Gemcitabine, Carboplatin With or Without Trastuzumab in Patients With Metastatic Breast Cancer",[exclusion] you cannot participate in this study if any of the following apply to you: Received prior chemotherapy for metastatic breast cancer,
Phase I/II Study With Bendamustine and Temsirolimus in Patients With Relapsed or Refractory Mantle Cell Non-hodgkin's Lymphoma (NHL) Not Eligible for High Dose Chemotherapy and Autologous/Allogeneic Stem Cell Transplantation,[exclusion] central nervous system (CNS) lymphomatous involvement,
CTCL Directed Therapy,[exclusion] active infection and/or concurrent malignancy,1
A Relative Bioavailability Study of 300 mg Cefdinir Capsules Under Non-fasting Conditions,[exclusion] subjects with a recent history of drug or alcohol addiction or abuse,1
A One-year Randomized Controlled Trial Evaluating the Impact of Pioglitazone Versus Linagliptin on Bone Turnover Markers,[inclusion] written informed consent (and assent when applicable) obtained from subject or subject's legal representative and ability for subject to comply with the requirements of the study,1
"A Randomized Phase I Study With a Safety Lead-In to Assess the Antitumor Efficacy of the MEK Inhibitor Trametinib Alone or in Combination With GSK2141795, an AKT Inhibitor, in Patients With Recurrent or Persistent Endometrial Cancer NCT #01935973",[exclusion] patients with symptomatic or untreated leptomeningeal or brain metastasis or spinal cord compression,
Bioavailability Study of Amitriptyline Hydrochloride Tablets,"[exclusion] laboratory tests (blood routine, urine routine, blood chemistry, etc.) and chest X-ray and ECG within 2 weeks before the test Those who have abnormal clinical findings",1
"A Phase I, Open-label, Multicenter, Dose-escalation and Dose-expansion Study to Investigate the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Efficacy of WM-S1-030 in Patients With Advanced Solid Tumors",[exclusion] symptomatic retinal vein occlusion or central serous retinopathy defined as fluid accumulation between the retinal pigment epithelium and the outer segment of the eye,
Prevention of Non-Surgical Bleeding by Management of HeartMate II Patients Without Antiplatelet Therapy,[inclusion] subject is ｜ 50 years of age,1
Gleevec (Imatinib) Plus Multi-Agent Chemotherapy For Newly-Diagnosed Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia,[inclusion] ejection fraction > 45% by MUGA scan,
Phase 1 Study of Volasertib and Belinostat in Patients With Relapsed and Refractory Aggressive B-cell and T-cell Lymphomas,[inclusion] adequate renal function defined as: Creatinine ∥ 1.5 x upper limit of normal (ULN) or calculated or actual creatinine clearance ｜ 60 mL/min (see Appendix 2 for the Cockcroft -Gault Formula to calculate creatinine clearance),1
A Pilot Trial to Evaluate the Feasibility Auranofin (Ridaura∝) for Asymptomatic Patients With First-Recurrence Epithelial Ovarian Cancer,"[inclusion] histological or cytological confirmation of epithelial ovarian, primary peritoneal, or fallopian cancer from any previous time point",
"A Phase I, Open Label, Dose Escalation Study to Evaluate the Pharmacokinetics, Safety, and Tolerability of Single Intramuscular Injections of Letrozole ISM∝ at Different Strengths in Voluntary Healthy Post Menopausal Women (LISA-1)",[exclusion] subjects who have an abnormality in the 12-lead ECG at Screening and prior to first dose (Treatment Period 1) that in the opinion of the Investigator increases the risk of participating in the study,
Dose Finding Study of MCI-186 in Acute Ischemic Stroke,[exclusion] patients otherwise judged unsuitable for study participation by the (sub)investigator,1
"A 4-Day, Randomized Study to Evaluate the Potential of MC2-01 Cream to Induce a Phototoxicity Skin Reaction in Healthy Subjects, Using a Controlled Photopatch Test Design",[exclusion] is expected to sunbathe or use tanning salons during the study,
A Phase 2 Study of Dabrafenib (NSC# 763760) With Trametinib (NSC# 763093) After Local Irradiation in Newly-Diagnosed BRAF V600-Mutant High-Grade Glioma (HGG),[exclusion] female patients who are pregnant are ineligible since there is yet no available information regarding human fetal or teratogenic toxicities,1
"Ph I/II Trial of Systemic Administration of VSV-IFNモ-NIS in Combination With Pembrolizumab, With Expansion Cohorts in Patients With Refractory NSCLC and NEC",[inclusion] performance status of 0 or 1 on the ECOG Performance Scale,1
A Phase I Study of Regulatory T Cell Depletion With Denileukin Diftitox Followed by Active Immunotherapy With Autologous Dendritic Cells Infected With CEA-6D Expressing Fowlpox-Tricom in Patients With Advanced or Metastatic Malignancies Expressing CEA,[inclusion] SGOT and SGPT < 1.5 times upper limit of normal,1
